Grain Image Name,Rice Type,Height (mm),Width (mm),Average Color
L1F23BSCS0118_Adhwar_Raw_001_Grain_0001.jpg,Adhwar,4.9879,1.7586,"[205.42134831460675, 202.31460674157304, 173.62359550561797]"
L1F23BSCS0118_Adhwar_Raw_001_Grain_0002.jpg,Adhwar,3.8841,2.0584,"[172.15740740740742, 165.2716049382716, 117.49074074074075]"
L1F23BSCS0118_Adhwar_Raw_001_Grain_0003.jpg,Adhwar,5.7046,2.0294,"[184.13852813852813, 185.43290043290042, 165.86796536796535]"
L1F23BSCS0118_Adhwar_Raw_001_Grain_0004.jpg,Adhwar,2.2867,1.7829,"[160.5, 162.24074074074073, 139.22222222222223]"
L1F23BSCS0118_Adhwar_Raw_001_Grain_0005.jpg,Adhwar,5.1159,2.0008,"[187.0835380835381, 189.8034398034398, 172.35135135135135]"
L1F23BSCS0118_Adhwar_Raw_001_Grain_0006.jpg,Adhwar,5.9713,1.8348,"[185.7454954954955, 188.38063063063063, 172.17567567567568]"
L1F23BSCS0118_Adhwar_Raw_001_Grain_0007.jpg,Adhwar,4.7875,2.1376,"[189.79418886198548, 192.05084745762713, 172.56658595641647]"
L1F23BSCS0118_Adhwar_Raw_001_Grain_0008.jpg,Adhwar,5.079,2.015,"[208.30266343825667, 210.0774818401937, 188.1767554479419]"
L1F23BSCS0118_Adhwar_Raw_001_Grain_0009.jpg,Adhwar,3.4161,2.2366,"[189.29315960912052, 188.46254071661238, 163.5700325732899]"
L1F23BSCS0118_Adhwar_Raw_001_Grain_0010.jpg,Adhwar,4.6801,1.9688,"[178.24594594594595, 179.95945945945945, 158.44864864864866]"
L1F23BSCS0118_Adhwar_Raw_001_Grain_0011.jpg,Adhwar,4.4677,2.1751,"[178.587012987013, 178.22857142857143, 152.41558441558442]"
L1F23BSCS0118_Adhwar_Raw_001_Grain_0012.jpg,Adhwar,4.3401,1.7561,"[185.8856209150327, 188.40196078431373, 168.3954248366013]"
L1F23BSCS0118_Adhwar_Raw_001_Grain_0013.jpg,Adhwar,4.071,1.8182,"[180.28187919463087, 182.7214765100671, 162.04697986577182]"
L1F23BSCS0118_Adhwar_Raw_001_Grain_0014.jpg,Adhwar,4.9808,1.9048,"[185.8713910761155, 185.498687664042, 169.3464566929134]"
L1F23BSCS0118_Adhwar_Raw_001_Grain_0015.jpg,Adhwar,4.8502,1.9276,"[191.26455026455025, 193.1005291005291, 169.57407407407408]"
L1F23BSCS0118_Adhwar_Raw_001_Grain_0016.jpg,Adhwar,5.2354,2.0501,"[184.46453089244852, 186.16933638443936, 166.28146453089244]"
L1F23BSCS0118_Adhwar_Raw_001_Grain_0017.jpg,Adhwar,6.529,2.1567,"[192.5218914185639, 191.9492119089317, 170.67950963222418]"
L1F23BSCS0118_Adhwar_Raw_001_Grain_0018.jpg,Adhwar,5.6883,1.9417,"[174.08200455580865, 174.29157175398635, 153.76765375854214]"
L1F23BSCS0118_Adhwar_Raw_001_Grain_0019.jpg,Adhwar,2.8764,2.0808,"[178.6818181818182, 178.9090909090909, 161.63223140495867]"
L1F23BSCS0118_Adhwar_Raw_001_Grain_0020.jpg,Adhwar,2.296,2.1853,"[165.1492537313433, 167.23383084577114, 151.87064676616916]"
L1F23BSCS0118_Adhwar_Raw_002_Grain_0001.jpg,Adhwar,4.5753,1.582,"[170.94623655913978, 173.53405017921148, 156.20430107526883]"
L1F23BSCS0118_Adhwar_Raw_002_Grain_0002.jpg,Adhwar,4.3613,1.9416,"[190.8546511627907, 189.97383720930233, 164.57267441860466]"
L1F23BSCS0118_Adhwar_Raw_002_Grain_0003.jpg,Adhwar,4.6468,1.8961,"[185.9108635097493, 188.32033426183844, 172.016713091922]"
L1F23BSCS0118_Adhwar_Raw_002_Grain_0004.jpg,Adhwar,4.9749,1.9161,"[187.16094986807389, 188.32189973614777, 171.0395778364116]"
L1F23BSCS0118_Adhwar_Raw_002_Grain_0005.jpg,Adhwar,3.2999,1.8318,"[174.37142857142857, 176.76734693877552, 154.60408163265305]"
L1F23BSCS0118_Adhwar_Raw_002_Grain_0006.jpg,Adhwar,5.3027,2.0048,"[192.24532710280374, 194.4789719626168, 174.47429906542055]"
L1F23BSCS0118_Adhwar_Raw_002_Grain_0007.jpg,Adhwar,6.0366,1.8888,"[168.59868421052633, 169.64254385964912, 152.5438596491228]"
L1F23BSCS0118_Adhwar_Raw_002_Grain_0008.jpg,Adhwar,5.6568,2.0396,"[187.58963282937364, 190.58963282937364, 171.84665226781857]"
L1F23BSCS0118_Adhwar_Raw_002_Grain_0009.jpg,Adhwar,3.5424,1.6821,"[175.62231759656652, 178.76824034334763, 159.32188841201716]"
L1F23BSCS0118_Adhwar_Raw_002_Grain_0010.jpg,Adhwar,6.0846,1.9165,"[179.93829787234043, 182.34468085106383, 163.42127659574467]"
L1F23BSCS0118_Adhwar_Raw_002_Grain_0011.jpg,Adhwar,6.3933,1.8088,"[186.76521739130436, 186.01739130434783, 161.94130434782608]"
L1F23BSCS0118_Adhwar_Raw_002_Grain_0012.jpg,Adhwar,5.3048,1.8777,"[172.40100250626566, 172.3659147869674, 144.66165413533835]"
L1F23BSCS0118_Adhwar_Raw_002_Grain_0013.jpg,Adhwar,5.0381,1.9541,"[198.65914786967417, 198.98496240601503, 176.43358395989975]"
L1F23BSCS0118_Adhwar_Raw_002_Grain_0014.jpg,Adhwar,4.6959,2.0509,"[188.73401534526855, 190.28388746803068, 172.0690537084399]"
L1F23BSCS0118_Adhwar_Raw_002_Grain_0015.jpg,Adhwar,5.6737,1.5819,"[174.52824858757063, 176.72033898305085, 161.83333333333334]"
L1F23BSCS0118_Adhwar_Raw_002_Grain_0016.jpg,Adhwar,3.7543,2.4159,"[197.55988857938718, 200.2200557103064, 180.89693593314763]"
L1F23BSCS0118_Adhwar_Raw_002_Grain_0017.jpg,Adhwar,2.7963,2.1564,"[160.33760683760684, 161.96153846153845, 137.07264957264957]"
L1F23BSCS0118_Adhwar_Raw_002_Grain_0018.jpg,Adhwar,5.3528,2.0836,"[178.3289183222958, 180.92494481236204, 162.86092715231788]"
L1F23BSCS0118_Adhwar_Raw_002_Grain_0019.jpg,Adhwar,5.3723,1.8692,"[188.5441176470588, 188.9950980392157, 167.83823529411765]"
